model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
JCBgma10,Set11,10,1,5,500.0,2.0,1,100,0.04,27.654255,23.324425,142.7737,331.4065,770.97845,0.0015021692,0.008074551,0,99
JCBgma20,Set11,10,1,5,500.0,2.0,1,100,0.04,27.739998,23.367748,140.68468,326.7622,756.3735,0.001496778,0.00795623,0,99
JCBgma30,Set11,10,1,5,500.0,2.0,1,100,0.04,27.704994,23.193132,141.66571,337.6414,790.43964,0.0016081062,0.008542928,0,99
smtADV,Set11,10,1,5,500.0,2.0,1,100,0.04,27.161934,23.518312,157.48805,316.6216,651.9452,0.0011893626,0.006294277,0,99
STH,Set11,10,1,5,500.0,2.0,1,100,0.04,27.303133,23.441374,150.91711,323.5203,572.9996,0.0013259993,0.0051159677,0,99
ISTA,Set11,10,1,5,500.0,0.1,0,0,0.0,27.775072,27.478022,139.83571,146.76709,0.0,6.4880664e-06,0.0,0,0
ADV,Set11,10,1,5,500.0,0.1,0,0,0.0,27.179253,26.95128,157.95818,163.85686,0.0,3.8927324e-06,0.0,0,0
JCBgma10,Set11,10,1,5,500.0,0.1,0,0,0.0,27.654255,27.36479,142.7737,150.08418,0.0,7.327873e-06,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,0.1,0,0,0.0,27.739998,27.436663,140.68468,148.06956,0.0,7.979565e-06,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,0.1,0,0,0.0,27.704994,27.386108,141.66571,149.55074,0.0,8.533146e-06,0.0,0,0
smtADV,Set11,10,1,5,500.0,0.1,0,0,0.0,27.161934,26.91522,157.48805,163.96849,0.0,5.017116e-06,0.0,0,0
STH,Set11,10,1,5,500.0,0.1,0,0,0.0,27.303133,27.054365,150.91711,157.65273,0.0,5.396765e-06,0.0,0,0
ISTA,Set11,10,1,5,500.0,0.1,1,100,0.04,27.775072,26.96502,139.83571,161.11559,577.3233,0.00017886594,0.006261505,0,99
ADV,Set11,10,1,5,500.0,0.1,1,100,0.04,27.179253,26.40196,157.95818,181.12675,497.9823,0.00018784715,0.0048755934,0,99
JCBgma10,Set11,10,1,5,500.0,0.1,1,100,0.04,27.654255,26.963533,142.7737,160.67065,595.7901,0.00015016686,0.006596436,0,99
