model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ISTA,Set11,10,1,10,800.0,7.0,0,0,0.0,27.775072,16.22914,139.83571,1590.4298,0.0,0.018043457,0.0,0,0
ADV,Set11,10,1,10,800.0,7.0,0,0,0.0,27.179253,16.753119,157.95818,1409.0309,0.0,0.014849701,0.0,0,0
JCBgma10,Set11,10,1,10,800.0,7.0,0,0,0.0,27.654255,15.976217,142.7737,1682.875,0.0,0.019067843,0.0,0,0
JCBgma20,Set11,10,1,10,800.0,7.0,0,0,0.0,27.739998,16.141466,140.68468,1616.878,0.0,0.018356146,0.0,0,0
JCBgma30,Set11,10,1,10,800.0,7.0,0,0,0.0,27.704994,15.977177,141.66571,1677.3274,0.0,0.019130452,0.0,0,0
smtADV,Set11,10,1,10,800.0,7.0,0,0,0.0,27.161934,16.57866,157.48805,1464.6033,0.0,0.015730035,0.0,0,0
STH,Set11,10,1,10,800.0,7.0,0,0,0.0,27.303133,16.596497,150.91711,1463.0941,0.0,0.015853487,0.0,0,0
ISTA,Set11,10,1,10,800.0,7.0,1,100,0.04,27.775072,16.862223,139.83571,1375.4772,1883.7305,0.015197432,0.023077667,0,99
ADV,Set11,10,1,10,800.0,7.0,1,100,0.04,27.179253,17.342424,157.95818,1228.887,1593.0487,0.012525768,0.018363588,0,99
JCBgma10,Set11,10,1,10,800.0,7.0,1,100,0.04,27.654255,16.567455,142.7737,1467.9282,1963.2406,0.016220452,0.0240764,0,99
JCBgma20,Set11,10,1,10,800.0,7.0,1,100,0.04,27.739998,16.772951,140.68468,1399.0891,1873.4899,0.015468191,0.023010682,0,99
JCBgma30,Set11,10,1,10,800.0,7.0,1,100,0.04,27.704994,16.577225,141.66571,1462.822,1931.0602,0.016296301,0.023852717,0,99
smtADV,Set11,10,1,10,800.0,7.0,1,100,0.04,27.161934,17.243185,157.48805,1256.1946,1610.6992,0.013037481,0.018722434,0,99
