model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ADV,BSD68,0.1,1,5,10000,2,0,0,0,28.074575,26.38008,153.88683,195.07509,0,0.000249221,0,0,0
smtADV,BSD68,0.1,1,5,10000,2,0,0,0,25.455265,24.49523,262.6428,298.9108,0,0.000192346,0,0,0
STH,BSD68,0.1,1,5,10000,2,0,0,0,26.435236,25.723122,190.63745,216.33278,0,9.06E-05,0,0,0
ADV,BSD68,0.1,1,5,10000,1.5,1,250,0.1,28.074045,26.843716,153.8431,181.48523,181.62286,0.000146159,0.000147248,0,249
ordinary,BSD68,0.1,1,5,10000,2,1,250,0.1,27.868073,26.164465,160.577,203.64804,203.80185,0.00026745,0.000269192,0,249
smtADV,BSD68,0.1,1,5,10000,1.5,1,250,0.1,25.452072,21.434399,262.81137,512.74695,689.7329,0.006354759,0.013005368,0,249
JCBgma20,BSD68,0.1,1,5,10000,2,1,250,0.1,28.19431,26.434122,149.42288,189.99493,190.08589,0.000273113,0.000274243,0,249
ordinary,BSD68,0.1,1,5,10000,3,0,0,0,27.87576,25.322702,160.36365,234.6832,0,0.000545379,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,3,0,0,0,28.1776,25.475628,149.60031,222.84842,0,0.000581559,0,0,0
ADV,BSD68,0.1,1,5,10000,3,0,0,0,28.073061,25.488092,153.89476,225.68484,0,0.000521039,0,0,0
smtADV,BSD68,0.1,1,5,10000,3,0,0,0,25.460686,23.987514,262.4405,323.42447,0,0.000393827,0,0,0
STH,BSD68,0.1,1,5,10000,3,0,0,0,26.416662,25.366348,191.29492,231.81825,0,0.000185101,0,0,0
STH,BSD68,0.1,1,5,10000,1.5,1,250,0.1,26.422623,24.391663,190.80643,292.89526,388.42676,0.001353782,0.002990012,0,249
ordinary,BSD68,0.1,1,5,10000,3,1,250,0.1,27.867178,25.35406,160.4151,232.755,233.05354,0.000534256,0.000537662,0,249
ADV,BSD68,0.1,1,5,10000,2,1,250,0.1,28.071222,26.415285,153.77902,193.90971,194.07335,0.000246172,0.000247875,0,249
JCBgma20,BSD68,0.1,1,5,10000,3,1,250,0.1,28.200432,25.57715,149.22218,219.15561,219.34425,0.000553952,0.000556365,0,249
smtADV,BSD68,0.1,1,5,10000,2,1,250,0.1,25.448593,21.346104,262.9483,521.69086,703.92725,0.006418726,0.013153828,0,249
STH,BSD68,0.1,1,5,10000,2,1,250,0.1,26.431656,24.33508,190.82834,296.0936,389.85858,0.001345004,0.002955308,0,249
ADV,BSD68,0.1,1,5,10000,3,1,250,0.1,28.075878,25.534235,153.88284,223.9829,224.36023,0.000514119,0.000518015,0,249
smtADV,BSD68,0.1,1,5,10000,3,1,250,0.1,25.450214,21.226746,262.91516,535.13074,717.304,0.006500217,0.013183124,0,249
STH,BSD68,0.1,1,5,10000,3,1,250,0.1,26.427536,24.194256,191.01944,304.183,393.6193,0.001366394,0.002903113,0,249
ordinary,BSD68,0.1,1,5,10000,5,0,0,0,27.87259,23.884247,160.46436,307.24612,0,0.001275554,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,5,0,0,0,28.189861,24.125322,149.29189,289.39606,0,0.001332621,0,0,0
ADV,BSD68,0.1,1,5,10000,5,0,0,0,28.07059,24.0691,153.85426,295.05637,0,0.00122242,0,0,0
smtADV,BSD68,0.1,1,5,10000,5,0,0,0,25.449652,23.078136,262.98636,379.29694,0,0.000908496,0,0,0
STH,BSD68,0.1,1,5,10000,5,0,0,0,26.402805,24.812326,191.45908,261.87097,0,0.000415387,0,0,0
ADV,BSD68,0.1,1,5,10000,5,1,250,0.1,28.070786,24.093758,153.93372,293.1465,294.04245,0.001213606,0.001223744,0,249
ordinary,BSD68,0.1,1,5,10000,5,1,250,0.1,27.869078,23.930376,160.52203,304.01236,304.92508,0.00124456,0.001255486,0,249
smtADV,BSD68,0.1,1,5,10000,5,1,250,0.1,25.444174,20.903345,263.08926,574.2676,768.7964,0.006855397,0.013759421,0,249
JCBgma20,BSD68,0.1,1,5,10000,5,1,250,0.1,28.196968,24.018784,149.40063,292.12152,292.5637,0.001321798,0.001327976,0,249
ordinary,BSD68,0.1,1,5,10000,7.5,0,0,0,27.879753,22.624784,160.12828,398.9224,0,0.00230252,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,7.5,0,0,0,28.187237,22.653929,149.27676,387.8746,0,0.002482289,0,0,0
ADV,BSD68,0.1,1,5,10000,7.5,0,0,0,28.065971,22.70253,153.92406,391.25076,0,0.00229277,0,0,0
smtADV,BSD68,0.1,1,5,10000,7.5,0,0,0,25.463982,22.224825,262.28073,451.0774,0,0.001658241,0,0,0
STH,BSD68,0.1,1,5,10000,7.5,0,0,0,26.45195,24.4874,190.3367,287.6707,0,0.000650001,0,0,0
STH,BSD68,0.1,1,5,10000,5,1,250,0.1,26.419182,23.916527,191.07108,323.3399,406.23624,0.001446419,0.002900554,0,249
ordinary,BSD68,0.1,1,5,10000,7.5,1,250,0.1,27.862581,22.565084,160.5272,401.64734,403.0107,0.002317087,0.002335824,0,249
ADV,BSD68,0.1,1,5,10000,7.5,1,250,0.1,28.075253,22.699272,153.69847,389.69476,391.1426,0.002304524,0.002324395,0,249
JCBgma20,BSD68,0.1,1,5,10000,7.5,1,250,0.1,28.19145,22.677458,149.40175,386.0714,386.91083,0.002424933,0.002439496,0,249
ordinary,BSD68,0.1,1,5,10000,10,0,0,0,27.881672,21.695282,160.2183,492.25073,0,0.003389314,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,10,0,0,0,28.19361,21.61043,149.22797,486.21255,0,0.003699665,0,0,0
ADV,BSD68,0.1,1,5,10000,10,0,0,0,28.066292,21.628859,153.97389,491.175,0,0.003456368,0,0,0
smtADV,BSD68,0.1,1,5,10000,10,0,0,0,25.438492,21.602545,263.3436,523.1298,0,0.002438994,0,0,0
STH,BSD68,0.1,1,5,10000,10,0,0,0,26.440804,24.339764,190.57254,304.97125,0,0.000809983,0,0,0
smtADV,BSD68,0.1,1,5,10000,7.5,1,250,0.1,25.459288,20.465685,262.63202,632.0817,840.6399,0.007470975,0.014518037,0,249
ordinary,BSD68,0.1,1,5,10000,10,1,250,0.1,27.868227,21.740217,160.44101,489.1166,491.14914,0.003356409,0.00338798,0,249
STH,BSD68,0.1,1,5,10000,7.5,1,250,0.1,26.44068,23.649088,190.53967,347.7831,423.63397,0.001616311,0.002994267,0,249
JCBgma20,BSD68,0.1,1,5,10000,10,1,250,0.1,28.189297,21.5853,149.36597,489.7395,491.03247,0.003685219,0.003707452,0,249
