model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ordinary,BSD68,0.1,1,5,80000.0,100.0,1,100,0.1,27.88396,10.522896,160.04863,5833.34,5848.2456,0.10366346,0.10453676,0,99
ADV,BSD68,0.1,1,5,80000.0,100.0,1,100,0.1,28.071482,10.553655,153.78906,5786.8193,5826.4453,0.09935993,0.099498376,0,99
JCBgma20,BSD68,0.1,1,5,80000.0,100.0,1,100,0.1,28.176407,10.706278,149.58168,5586.6943,5636.7407,0.09358679,0.09397051,0,99
smtADV,BSD68,0.1,1,5,80000.0,100.0,1,100,0.1,25.446892,11.0701275,263.00946,5139.604,6087.1665,0.08411497,0.09536052,0,99
ordinary,BSD68,0.1,1,5,80000.0,150.0,0,0,0.0,27.854647,8.91616,161.01794,8435.426,0.0,0.21110666,0.0,0,0
JCBgma20,BSD68,0.1,1,5,80000.0,150.0,0,0,0.0,28.187403,9.030676,149.42468,8201.429,0.0,0.17234528,0.0,0,0
ADV,BSD68,0.1,1,5,80000.0,150.0,0,0,0.0,28.06627,9.033892,153.89038,8216.571,0.0,0.1958216,0.0,0,0
smtADV,BSD68,0.1,1,5,80000.0,150.0,0,0,0.0,25.447264,9.264976,263.1347,7777.4365,0.0,0.15778089,0.0,0,0
STH,BSD68,0.1,1,5,80000.0,150.0,0,0,0.0,26.407818,12.004553,191.26056,4926.926,0.0,0.070502415,0.0,0,0
STH,BSD68,0.1,1,5,80000.0,100.0,1,100,0.1,26.43672,12.781973,190.80962,3844.3704,4171.785,0.050168287,0.05512793,0,99
ordinary,BSD68,0.1,1,5,80000.0,150.0,1,100,0.1,27.88022,9.019145,160.21461,8239.77,8271.336,0.2078618,0.20970036,0,99
ADV,BSD68,0.1,1,5,80000.0,150.0,1,100,0.1,28.07106,9.093034,153.82521,8096.897,8161.7666,0.19418848,0.19369088,0,99
JCBgma20,BSD68,0.1,1,5,80000.0,150.0,1,100,0.1,28.187004,9.105721,149.28677,8062.41,8147.696,0.1715922,0.17147389,0,99
smtADV,BSD68,0.1,1,5,80000.0,150.0,1,100,0.1,25.45008,9.456987,262.72516,7447.565,8482.962,0.16235869,0.16827999,0,99
STH,BSD68,0.1,1,5,80000.0,150.0,1,100,0.1,26.434393,11.881628,190.6885,4975.3066,5327.0635,0.07311378,0.07666658,0,99
