model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ordinary,BSD68,0.1,1,5,10000,5,1,250,0.01,27.872025,23.939346,160.44461,304.3348,305.1231,0.001262672,0.001272481,0,249
JCBgma20,BSD68,0.1,1,5,10000,5,1,250,0.01,28.195974,24.033821,149.31604,292.60678,293.22287,0.001316094,0.0013236,0,249
,,,,,,,,,,,,,,,,,,
smtADV,BSD68,0.1,1,5,10000,5,1,250,0.01,28.27828,20.520517,146.49072,598.9918,1112.9167,0.005997708,0.015142445,0,249
STH,BSD68,0.1,1,5,10000,5,1,250,0.01,26.452602,23.916086,190.09213,323.40213,407.4229,0.001452481,0.00294175,0,249
ordinary,BSD68,0.1,1,5,10000,5,1,250,0.5,27.87926,23.88573,160.18434,305.4688,306.20255,0.001263962,0.001273104,0,249
JCBgma20,BSD68,0.1,1,5,10000,5,1,250,0.5,28.173407,24.01056,149.81097,294.14868,294.62015,0.001341083,0.001348026,0,249
,,,,,,,,,,,,,,,,,,
smtADV,BSD68,0.1,1,5,10000,5,1,250,0.5,28.271318,20.509724,146.49207,600.39417,1111.5343,0.006013808,0.015101548,0,249
STH,BSD68,0.1,1,5,10000,5,1,250,0.5,26.419092,23.897682,191.16583,324.19223,405.94675,0.001439608,0.002902326,0,249
ordinary,BSD68,0.1,1,5,10000,5,1,250,2,27.875395,23.916183,160.24611,303.91403,304.7576,0.001251078,0.001261573,0,249
JCBgma20,BSD68,0.1,1,5,10000,5,1,250,2,28.181076,24.096626,149.60582,290.06577,290.41504,0.001326198,0.001332925,0,249
,,,,,,,,,,,,,,,,,,
smtADV,BSD68,0.1,1,5,10000,5,1,250,2,28.28348,20.531147,146.32602,597.60504,1109.6932,0.00597552,0.01496897,0,249
STH,BSD68,0.1,1,5,10000,5,1,250,2,26.438074,23.918575,190.61963,323.644,407.3521,0.001456492,0.002921629,0,249
ordinary,BSD68,0.1,1,5,10000,5,1,250,5,27.874798,23.93394,160.14238,303.6235,305.73178,0.001250304,0.00126515,17,234
JCBgma20,BSD68,0.1,1,5,10000,5,1,250,5,28.175003,24.068708,149.51375,290.9868,292.604,0.001300858,0.001313602,17,234
,,,,,,,,,,,,,,,,,,
smtADV,BSD68,0.1,1,5,10000,5,1,250,5,28.257023,20.497944,146.66748,601.73364,426.53403,0.006025123,0.003910341,17,234
STH,BSD68,0.1,1,5,10000,5,1,250,5,26.416903,23.924625,191.54834,323.106,277.6284,0.001428537,0.00094392,17,234
,,,,,,,,,,,,,,,,,,
ordinary,BSD68,0.1,1,5,10000,5,0,0,0,27.87259,23.884247,160.46436,307.24612,0,0.001275554,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,5,0,0,0,28.189861,24.125322,149.29189,289.39606,0,0.001332621,0,0,0
,,,,,,,,,,,,,,,,,,
smtADV,BSD68,0.1,1,5,10000,5,0,0,0,28.266212,24.270239,146.61804,279.26324,0,0.001348167,0,0,0
STH,BSD68,0.1,1,5,10000,5,0,0,0,26.402805,24.812326,191.45908,261.87097,0,0.000415387,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ordinary,BSD68,0.1,1,5,10000,5,1,250,0.1,27.869078,23.930376,160.52203,304.01236,304.92508,0.00124456,0.001255486,0,249
smtADV,BSD68,0.1,1,5,10000,5,1,250,0.1,28.273125,20.49334,146.4962,602.5952,1109.4324,0.006060831,0.015116558,0,249
JCBgma20,BSD68,0.1,1,5,10000,5,1,250,0.1,28.196968,24.018784,149.40063,292.12152,292.5637,0.001321798,0.001327976,0,249
STH,BSD68,0.1,1,5,10000,5,1,250,0.1,26.419182,23.916527,191.07108,323.3399,406.23624,0.001446419,0.002900554,0,249
